Paper_ID,Matched_File,Category
1606.04671,No code provided,Others
1903.09668,No code provided,Others
1904.10554,No code provided,Others
1908.05659,No code provided,Others
1909.00931,Code provided but no matches,Others
1911.03867,No code provided,Others
2002.05905,No code provided,Others
2004.05258,No code provided,Others
2009.01947,readme_dependencies,Parsed Readme
2010.04261,No code provided,Others
2010.04855,No code provided,Others
2011.11576,Code provided but no matches,Others
2012.09302,requirements.txt,Dependencies
2012.09302,readme_install,Parsed Readme
2101.07354,No code provided,Others
2102.11887,No code provided,Others
2104.11893,Code provided but no matches,Others
2104.12546,No code provided,Others
2105.01099,No code provided,Others
2105.01937,environment.yml,Dependencies
2105.01937,requirements.txt,Dependencies
2105.01937,readme_requirements,Parsed Readme
2105.15197,No code provided,Others
2106.01528,Code provided but no matches,Others
2106.03157,requirements.txt,Dependencies
2106.03157,readme_setup,Parsed Readme
2106.03725,No code provided,Others
2106.06927,conda_reqs.txt,Dependencies
2106.06927,pip_reqs.txt,Dependencies
2106.07704,requirements.txt,Dependencies
2106.07704,readme_requirements,Parsed Readme
2106.07704,readme_setup,Parsed Readme
2106.07704,run_experiments.py,Wrapper Scripts
2106.10898,No code provided,Others
2106.12177,No code provided,Others
2106.12936,No code provided,Others
2106.13823,No code provided,Others
2107.01131,readme_install,Parsed Readme
2108.09779,readme_install,Parsed Readme
2109.01372,Code provided but no matches,Others
2109.12784,Code provided but no matches,Others
2110.02343,No code provided,Others
2110.02474,No code provided,Others
2110.03135,No code provided,Others
2110.05169,Code provided but no matches,Others
2110.08255,requirements.txt,Dependencies
2110.08432,No code provided,Others
2110.09902,Code provided but no matches,Others
2110.11688,Code provided but no matches,Others
2110.14241,No code provided,Others
2111.02997,requirements.txt,Dependencies
2111.03664,No code provided,Others
2111.08356,No code provided,Others
2111.12673,readme_requirements,Parsed Readme
2111.12673,readme_install,Parsed Readme
2111.12673,main.py,Wrapper Scripts
2111.15449,Code provided but no matches,Others
2112.00016,readme_setup,Parsed Readme
2112.03432,No code provided,Others
2112.04871,readme_dependencies,Parsed Readme
